Iteration,Total_Cost,Position_Cost,Heading_Cost,Gamma_State_Cost,Lateral_Ref_Cost,Velocity_Cost,Gamma_Ctrl_Cost,Obstacle_Cost,Lane_Cost,Gamma_Barrier_Cost,Gamma_Dot_Barrier_Cost,Speed_Rate_Cost,Lambda_Value
-1,438.375,7.20487,0.148681,7.2982,81.4069,71.4737,21.5119,147.811,0,12.8458,77.5035,11.1708,7
-2,437.054,7.05784,0.133302,7.68016,79.0857,72.2826,22.2093,147.065,0,12.9876,77.6364,10.9168,7
1,437.054,7.05784,0.133302,7.68016,79.0857,72.2826,22.2093,147.065,0,12.9876,77.6364,10.9168,7
-1,437.054,7.05784,0.133302,7.68016,79.0857,72.2826,22.2093,147.065,0,12.9876,77.6364,10.9168,4.9
-2,436.269,7.23448,0.12829,7.90833,77.7024,73.1742,22.5423,146.189,0,13.0736,77.6993,10.617,4.9
2,436.269,7.23448,0.12829,7.90833,77.7024,73.1742,22.5423,146.189,0,13.0736,77.6993,10.617,4.9
0,429.909,7.20726,0.149089,8.19206,77.9287,71.0989,22.4963,142.226,0,13.1724,77.6909,9.74678,3.43
-1,429.909,7.20726,0.149089,8.19206,77.9287,71.0989,22.4963,142.226,0,13.1724,77.6909,9.74678,7
-2,428.582,7.82679,0.135443,8.6712,74.7547,71.9156,23.2831,141.402,0,13.3579,77.8411,9.39486,7
1,428.582,7.82679,0.135443,8.6712,74.7547,71.9156,23.2831,141.402,0,13.3579,77.8411,9.39486,7
-1,428.582,7.82679,0.135443,8.6712,74.7547,71.9156,23.2831,141.402,0,13.3579,77.8411,9.39486,4.9
-2,427.434,7.68579,0.12649,8.9271,73.4252,72.9437,23.5839,140.389,0,13.459,77.8978,8.99604,4.9
2,427.434,7.68579,0.12649,8.9271,73.4252,72.9437,23.5839,140.389,0,13.459,77.8978,8.99604,4.9
-1,427.434,7.68579,0.12649,8.9271,73.4252,72.9437,23.5839,140.389,0,13.459,77.8978,8.99604,3.43
-2,426.149,7.23853,0.124426,9.07362,72.7126,74.0968,23.659,139.25,0,13.517,77.9111,8.56603,3.43
3,426.149,7.23853,0.124426,9.07362,72.7126,74.0968,23.659,139.25,0,13.517,77.9111,8.56603,3.43
-1,426.149,7.23853,0.124426,9.07362,72.7126,74.0968,23.659,139.25,0,13.517,77.9111,8.56603,2.401
-2,424.657,6.72854,0.118741,9.14306,72.1484,75.3284,23.6047,138.015,0,13.5436,77.8994,8.12718,2.401
4,424.657,6.72854,0.118741,9.14306,72.1484,75.3284,23.6047,138.015,0,13.5436,77.8994,8.12718,2.401
-1,424.657,6.72854,0.118741,9.14306,72.1484,75.3284,23.6047,138.015,0,13.5436,77.8994,8.12718,1.6807
-2,422.871,6.2804,0.11974,9.1727,71.3989,76.5988,23.4729,136.699,0,13.5543,77.8731,7.70108,1.6807
5,422.871,6.2804,0.11974,9.1727,71.3989,76.5988,23.4729,136.699,0,13.5543,77.8731,7.70108,1.6807
-1,422.871,6.2804,0.11974,9.1727,71.3989,76.5988,23.4729,136.699,0,13.5543,77.8731,7.70108,1.17649
-2,422.48,7.38633,0.120892,9.15863,70.6791,77.8073,23.2689,135.376,0,13.5477,77.8331,7.30176,1.17649
6,422.48,7.38633,0.120892,9.15863,70.6791,77.8073,23.2689,135.376,0,13.5477,77.8331,7.30176,1.17649
0,407.559,7.34569,0.139669,9.50649,68.7594,72.3953,23.1085,127.83,0,13.6729,77.8036,6.99702,0.823543
-1,407.559,7.34569,0.139669,9.50649,68.7594,72.3953,23.1085,127.83,0,13.6729,77.8036,6.99702,7
-2,406.983,7.33458,0.126986,9.88013,67.2463,73.2574,23.6078,127.041,0,13.8238,77.8987,6.76607,7
1,406.983,7.33458,0.126986,9.88013,67.2463,73.2574,23.6078,127.041,0,13.8238,77.8987,6.76607,7
0,383.02,7.24841,0.14143,10.2467,64.8152,66.5665,23.4527,112.65,0,13.9575,77.8702,6.07061,4.9
-1,383.02,7.24841,0.14143,10.2467,64.8152,66.5665,23.4527,112.65,0,13.9575,77.8702,6.07061,7
-2,381.755,7.52098,0.124359,10.8828,61.3872,67.4124,24.3031,111.938,0,14.2227,78.0324,5.93065,7
1,381.755,7.52098,0.124359,10.8828,61.3872,67.4124,24.3031,111.938,0,14.2227,78.0324,5.93065,7
-1,381.755,7.52098,0.124359,10.8828,61.3872,67.4124,24.3031,111.938,0,14.2227,78.0324,5.93065,4.9
-2,380.817,7.02358,0.117687,11.2499,59.9497,68.4168,24.6984,111.063,0,14.3791,78.1073,5.81199,4.9
2,380.817,7.02358,0.117687,11.2499,59.9497,68.4168,24.6984,111.063,0,14.3791,78.1073,5.81199,4.9
0,344.786,6.85532,0.128804,11.6761,55.6103,59.3009,24.6353,88.2599,0,14.5398,78.0958,5.68387,3.43
-1,344.786,6.85532,0.128804,11.6761,55.6103,59.3009,24.6353,88.2599,0,14.5398,78.0958,5.68387,7
-2,343.56,6.43028,0.11294,12.3361,52.6658,59.9543,25.4064,87.8737,0,14.8307,78.243,5.70692,7
1,343.56,6.43028,0.11294,12.3361,52.6658,59.9543,25.4064,87.8737,0,14.8307,78.243,5.70692,7
-1,343.56,6.43028,0.11294,12.3361,52.6658,59.9543,25.4064,87.8737,0,14.8307,78.243,5.70692,4.9
-2,343.279,6.09936,0.10233,12.7439,51.4031,60.6273,25.7813,87.4377,0,15.0151,78.3142,5.7546,4.9
2,343.279,6.09936,0.10233,12.7439,51.4031,60.6273,25.7813,87.4377,0,15.0151,78.3142,5.7546,4.9
0,299.128,5.89173,0.109492,13.2346,45.7721,50.1864,25.7824,58.9205,0,15.2065,78.3144,5.70983,3.43
-1,299.128,5.89173,0.109492,13.2346,45.7721,50.1864,25.7824,58.9205,0,15.2065,78.3144,5.70983,7
